07/12/2024,INTEREST CHARGE -PURCHASE,77.98,,4152.18
07/12/2024,INTEREST CHARGE - CASH,5.90,,4074.20
06/27/2024,APPLE.COM/BILL,,14.68,4068.30
06/22/2024,APPLE.COM/BILL,14.68,,4082.98
06/14/2024,PRESTO FARE/55G2508SJR,3.30,,4068.30
